Order_ID,Order_Date,Region,Sales_Rep,Product_Category,Product_Name,Customer_Segment,Quantity,Unit_Price,Discount_Rate,Revenue,Deal_Status,Channel
ORD-10890,02/13/2024,East,Aisha Patel,Hardware,ServerX,Startup,2,1544.63,0.11,2749.44,LOST,referral
ORD-10094,2024-10-05,,Aisha Patel,Subscriptions,Pro Plan,,43,4749.43,0.24,155211.37,LOST,Online
ORD-10107,2024-01-23,south,Mia Fernandez,Hardware,ServerX,smb,12,1402.69,0.27,12287.56,Won,Partner
ORD-10609,08/07/2022,north,Mia Fernandez,Services,Onboarding,start-up,14,1769.22,0.03,24026.01,Pending,Direct
ORD-10113,16-08-2023,north,James Carter,Consulting,Strategy Session,ENTERPRISE,35,3533.17,0.18,101401.98,Pending,partner
ORD-10350,26-11-2022,central,,Hardware,Switch Pro,SMB,3,99999.0,0.16,4600.21,PENDING,partner
ORD-10022,2023-10-05,North,Mia Fernandez,Consulting,Strategy Session,enterprise,5,2995.42,0.24,11382.6,WON,Partner
ORD-10136,08/05/2023,EAST,Marcus Webb,Software,CRM Pro,Enterprise,31,265.5,0.14,7078.23,Pending,online
ORD-10674,06/14/2023,south,Liam Brooks,Subscriptions,Enterprise Plan,Enterprise,17,3153.6,,47177.86,LOST,Online
ORD-10046,10/02/2022,EAST,Zoe Nguyen,Software,AutoSync,startup,35,3750.2,0.19,106318.17,Pending,partner
ORD-10436,09/23/2022,,Aisha Patel,Software,DataVault,enterprise,37,3226.67,0.14,102672.64,Won,Referral
ORD-10437,30/09/2024,Central,Mia Fernandez,Services,Training,SMB,46,400.83,0.33,12353.58,In Progress,partner
ORD-10813,04/09/2022,East,Liam Brooks,Hardware,Edge Router,start-up,9,1332.35,0.24,9113.27,In Progress,Online
ORD-10271,2022-09-03,NORTH,Derek Stone,Subscriptions,Basic Plan,Startup,6,3570.23,0.34,14138.11,WON,Partner
ORD-10563,23/02/2023,central,James Carter,Services,Support Plan,start-up,27,2247.11,0.23,46717.42,,Partner
ORD-10214,"October 27, 2023",North,Derek Stone,Consulting,Strategy Session,SMB,34,889.44,0.13,26309.64,In Progress,Online
ORD-10630,30-06-2023,West,Liam Brooks,Hardware,NAS Drive,SMB,47,3402.08,0.15,135913.1,lost,online
ORD-10294,10/02/2024,North,Nina Torres,Software,CRM Pro,,31,1038.39,0.01,31868.19,In Progress,Referral
ORD-10245,2022-02-03,NORTH,Zoe Nguyen,Consulting,Audit Package,SMB,42,1544.23,0.31,44751.79,WON,referral
ORD-10746,11/01/2023,north,Liam Brooks,Software,DataVault,smb,19,3349.95,0.02,62376.07,PENDING,direct
ORD-10435,12/11/2022,south,Nina Torres,Consulting,Strategy Session,enterprise,43,380.07,0.29,11603.54,PENDING,partner
ORD-10455,2023-08-13,East,Sophia Lee,Services,Migration,Enterprise,14,3713.06,0.07,48344.04,LOST,online
ORD-10954,2024-03-11,north,Derek Stone,Consulting,Strategy Session,SMB,17,4117.35,0.24,53196.16,PENDING,Partner
ORD-10109,12/22/2024,EAST,Liam Brooks,Consulting,Strategy Session,Startup,47,1655.7,0.33,52137.99,lost,direct
ORD-10050,13-05-2024,,Zoe Nguyen,Software,AutoSync,SMB,50,4788.56,0.01,237033.72,won,partner
ORD-10755,24/01/2023,South,,Consulting,Strategy Session,SMB,7,1815.05,0.06,11943.03,Lost,Online
ORD-10344,2023-11-24,EAST,James Carter,Subscriptions,Pro Plan,start-up,33,716.45,0.17,19623.57,In Progress,partner
ORD-10911,22-12-2024,EAST,James Carter,Software,AutoSync,startup,23,1264.32,0.08,26753.01,WON,Online
ORD-10526,02-07-2024,South,,Services,Onboarding,Enterprise,6,331.57,0.21,1571.64,In Progress,Online
ORD-10610,11/09/2023,south,Liam Brooks,Subscriptions,Basic Plan,startup,17,3143.57,0.16,44890.18,Pending,direct
ORD-10900,24/01/2022,NORTH,James Carter,Subscriptions,Enterprise Plan,startup,48,3684.14,0.34,116713.56,Won,direct
ORD-10518,21/08/2023,North,Derek Stone,Consulting,Strategy Session,enterprise,17,706.07,0.1,10802.87,lost,
ORD-10668,29-04-2024,central,Aisha Patel,Hardware,Edge Router,SMB,28,2096.38,0.14,,WON,Partner
ORD-10720,"November 10, 2023",South,Liam Brooks,Hardware,Switch Pro,Enterprise,23,198.59,0.04,9999999.0,won,online
ORD-10782,2022-07-25,West,Liam Brooks,Hardware,ServerX,smb,24,2286.99,0.24,41714.7,Lost,partner
ORD-10571,"August 19, 2022",North,Marcus Webb,Subscriptions,Pro Plan,Enterprise,40,4212.34,0.16,,Pending,DIRECT
ORD-10086,13/08/2023,NORTH,Sophia Lee,Consulting,Roadmap Workshop,smb,45,-50.0,0.3,40571.68,Pending,direct
ORD-10129,25/04/2023,South,Derek Stone,Consulting,Audit Package,start-up,50,1444.77,0.13,62847.5,pending,Online
ORD-10512,06/13/2024,north,Marcus Webb,Consulting,Roadmap Workshop,startup,12,2299.25,0.15,23452.35,In Progress,direct
ORD-10124,17-10-2022,south,,Hardware,ServerX,smb,25,3235.29,0.11,71985.2,PENDING,Online
ORD-10267,19-10-2022,north,James Carter,Hardware,Edge Router,Startup,48,470.27,0.03,,pending,direct
ORD-10941,04/11/2022,south,Mia Fernandez,Subscriptions,Pro Plan,start-up,5,4008.94,0.01,19844.25,lost,referral
ORD-10840,07/16/2023,south,James Carter,Subscriptions,Enterprise Plan,SMB,32,3439.24,0.3,77038.98,Pending,Direct
ORD-10701,2024-06-29,South,James Carter,Services,Training,SMB,40,3144.92,0.28,90573.7,won,Online
ORD-10582,07/06/2022,South,Marcus Webb,Software,AutoSync,Startup,0,3442.95,0.24,47099.56,lost,partner
ORD-10931,07/27/2022,south,,Hardware,NAS Drive,Startup,46,3001.75,0.26,102179.57,,Online
ORD-10958,2024-06-29,East,,Consulting,Audit Package,Enterprise,23,2528.16,0.3,40703.38,,Online
ORD-10434,2023-01-15,Central,Nina Torres,Subscriptions,Pro Plan,enterprise,25,989.85,0.24,18807.15,PENDING,partner
ORD-10283,10/02/2022,West,James Carter,Services,Support Plan,ENTERPRISE,46,928.43,0.28,30749.6,LOST,DIRECT
ORD-10132,12-07-2024,North,Liam Brooks,Software,AutoSync,SMB,6,1905.82,0.01,11320.57,Pending,online
ORD-10839,13-12-2023,West,Sophia Lee,Consulting,Audit Package,startup,33,3964.88,0.06,122990.58,PENDING,direct
ORD-10269,15-03-2024,East,Zoe Nguyen,Services,Onboarding,SMB,50,3862.23,0.04,185387.04,WON,Online
ORD-10683,2024-09-28,north,Ethan Ross,Services,Onboarding,startup,37,1583.02,0.16,49200.26,pending,Referral
ORD-10407,26/09/2022,central,Aisha Patel,Software,DataVault,startup,13,771.93,,6623.16,Pending,Direct
ORD-10396,07/04/2024,North,Derek Stone,Hardware,ServerX,enterprise,19,1732.83,0.04,31606.82,,Online
ORD-10191,16/10/2023,Central,Nina Torres,Hardware,NAS Drive,SMB,20,1412.01,0.19,22874.56,Pending,Referral
ORD-10597,"July 14, 2023",East,Zoe Nguyen,Subscriptions,Pro Plan,smb,50,2300.44,0.04,110421.12,WON,online
ORD-10499,02/07/2024,East,Derek Stone,Services,Onboarding,start-up,9,509.94,0.28,3304.41,In Progress,Online
ORD-10729,"September 19, 2023",EAST,,Hardware,Switch Pro,enterprise,49,465.94,0.16,19178.09,WON,direct
ORD-10949,02/04/2024,Central,Ethan Ross,Subscriptions,Basic Plan,startup,26,3366.89,0.16,-1000.0,WON,Online
ORD-10452,2023-05-12,south,Liam Brooks,Services,Onboarding,enterprise,28,1858.07,0.07,48384.14,Pending,partner
ORD-10003,06/12/2023,south,James Carter,Consulting,Audit Package,enterprise,19,4155.55,0.22,61585.25,PENDING,Referral
ORD-10177,02/10/2022,,Derek Stone,Hardware,Switch Pro,ENTERPRISE,42,1323.46,0.07,51694.35,pending,DIRECT
ORD-10386,20-02-2024,Central,Mia Fernandez,Software,DataVault,smb,50,1200.94,0.3,42032.9,pending,referral
ORD-10693,08-02-2022,west,Mia Fernandez,Software,DataVault,smb,27,2257.61,0.3,42668.83,In Progress,online
ORD-10100,2024-12-13,north,Zoe Nguyen,Consulting,Roadmap Workshop,enterprise,33,1146.67,0.22,,pending,Partner
ORD-10244,23/11/2023,Central,Marcus Webb,Subscriptions,Pro Plan,Enterprise,7,3149.59,,15653.46,Won,direct
ORD-10048,"December 05, 2022",NORTH,Mia Fernandez,Subscriptions,Pro Plan,Enterprise,42,2171.63,0.3,63845.92,won,Direct
ORD-10495,31/07/2022,central,Derek Stone,Software,DataVault,Startup,13,1468.51,,15463.41,Lost,Referral
ORD-10814,11/15/2022,NORTH,Liam Brooks,Subscriptions,Basic Plan,Startup,44,3063.08,,101081.64,Lost,Online
ORD-10698,21-10-2023,South,Zoe Nguyen,Subscriptions,Basic Plan,ENTERPRISE,39,2408.82,0.32,63881.91,Won,referral
ORD-10709,2023-05-22,West,Aisha Patel,Services,Training,SMB,50,3019.83,0.15,128342.77,won,Direct
ORD-10057,09/25/2024,East,Derek Stone,Services,Training,Enterprise,13,473.78,0.25,4619.35,PENDING,direct
ORD-10489,25/04/2022,south,Mia Fernandez,Services,Onboarding,SMB,44,1692.01,0.32,50624.94,In Progress,direct
ORD-10131,2024-11-22,south,Sophia Lee,Hardware,Edge Router,ENTERPRISE,6,4734.75,0.08,26135.82,Pending,Referral
ORD-10126,09/22/2024,South,Marcus Webb,Hardware,Switch Pro,enterprise,50,2721.87,,100709.19,PENDING,direct
ORD-10821,30-08-2022,south,Zoe Nguyen,Services,Support Plan,Enterprise,26,1126.44,0.11,26065.82,In Progress,Referral
ORD-10706,07/09/2022,West,Zoe Nguyen,Services,Onboarding,SMB,18,4596.04,0.19,67010.26,Won,Partner
ORD-10786,"August 25, 2022",central,Ethan Ross,Hardware,NAS Drive,ENTERPRISE,7,2202.72,0.25,11564.28,won,Referral
ORD-10749,"February 03, 2023",North,James Carter,Services,Support Plan,Startup,32,2333.72,0.03,72438.67,pending,Online
ORD-10841,06/03/2022,West,Ethan Ross,Consulting,Audit Package,smb,12,67.82,0.2,651.07,Lost,DIRECT
ORD-10697,"July 27, 2023",South,Mia Fernandez,Subscriptions,Enterprise Plan,Startup,49,3553.38,0.1,156704.06,,DIRECT
ORD-10548,29/06/2024,Central,Nina Torres,Consulting,Roadmap Workshop,Startup,50,595.16,,27377.36,Lost,Online
ORD-10719,"March 28, 2022",South,James Carter,Hardware,NAS Drive,start-up,14,1233.14,0.26,12775.33,In Progress,DIRECT
ORD-10473,"October 05, 2022",EAST,Nina Torres,Consulting,Strategy Session,start-up,46,4484.18,0.31,142327.87,In Progress,Online
ORD-10864,2022-06-07,Central,Liam Brooks,Hardware,Edge Router,ENTERPRISE,45,4746.39,0.16,179413.54,PENDING,
ORD-10584,2022-11-30,South,Marcus Webb,Subscriptions,Basic Plan,enterprise,30,4584.35,0.04,132029.28,Pending,Referral
ORD-10459,"October 09, 2023",Central,Ethan Ross,Software,DataVault,start-up,46,156.37,0.09,6545.65,PENDING,online
ORD-10515,"July 27, 2023",west,Sophia Lee,Subscriptions,Basic Plan,start-up,44,3186.75,0.28,100956.24,won,Online
ORD-10774,11/09/2023,west,Liam Brooks,Subscriptions,Enterprise Plan,startup,7,3199.09,0.27,16347.35,won,referral
ORD-10809,30-01-2023,Central,Ethan Ross,Subscriptions,Pro Plan,ENTERPRISE,28,1925.76,0.34,35588.04,LOST,direct
ORD-10084,05-01-2024,EAST,Marcus Webb,Hardware,Edge Router,,12,440.89,0.3,3703.48,WON,Online
ORD-10580,12-06-2024,central,Zoe Nguyen,Software,CRM Pro,smb,38,339.63,0.11,11486.29,WON,online
ORD-10493,10/21/2024,South,Nina Torres,Consulting,Audit Package,ENTERPRISE,34,3399.75,0.05,109811.92,won,direct
ORD-10305,29-09-2023,West,,Hardware,Switch Pro,start-up,18,3657.56,0.21,52010.5,LOST,DIRECT
ORD-10681,2024-04-16,north,Nina Torres,Subscriptions,Basic Plan,ENTERPRISE,24,1559.38,0.13,32559.85,,partner
ORD-10063,16-04-2022,West,Sophia Lee,Software,CloudDash,enterprise,41,3447.93,0.05,134296.87,In Progress,direct
ORD-10152,25-11-2024,,Ethan Ross,Subscriptions,Basic Plan,startup,4,4165.38,0.18,13662.45,PENDING,
ORD-10498,2024-06-27,NORTH,James Carter,Consulting,Strategy Session,startup,6,2161.01,0.06,12188.1,,partner
ORD-10618,04-10-2023,Central,Liam Brooks,Hardware,NAS Drive,ENTERPRISE,12,1109.84,0.1,11986.27,,partner
ORD-10594,06/28/2024,west,Liam Brooks,Services,Support Plan,enterprise,44,1868.83,0.0,82228.52,pending,referral
ORD-10509,2022-04-19,west,Nina Torres,Software,CRM Pro,SMB,45,2971.31,0.22,104292.98,Pending,online
ORD-10520,09/20/2024,,James Carter,Services,Support Plan,ENTERPRISE,49,4968.25,0.27,177714.3,pending,partner
ORD-10172,11-06-2022,West,Derek Stone,Consulting,Strategy Session,smb,45,1394.53,0.04,60243.7,PENDING,Online
ORD-10292,10-07-2022,Central,Mia Fernandez,Consulting,Audit Package,ENTERPRISE,28,827.66,0.04,22247.5,In Progress,referral
ORD-10456,07-12-2024,west,Zoe Nguyen,Subscriptions,Enterprise Plan,Enterprise,38,4534.9,0.18,141307.48,Pending,partner
ORD-10481,"December 30, 2022",Central,Nina Torres,Software,AutoSync,Startup,25,4110.31,0.27,75013.16,LOST,DIRECT
ORD-10138,23/12/2023,East,Marcus Webb,Consulting,Roadmap Workshop,ENTERPRISE,5,3594.42,0.33,12041.31,WON,DIRECT
ORD-10219,14/02/2023,west,Marcus Webb,Subscriptions,Enterprise Plan,start-up,29,3998.54,0.29,82329.94,Lost,Direct
ORD-10742,"May 21, 2022",South,Marcus Webb,Hardware,Edge Router,,39,2896.7,0.11,100544.46,WON,DIRECT
ORD-10451,09/25/2022,West,Ethan Ross,Hardware,Edge Router,SMB,40,4985.54,0.18,163525.71,PENDING,direct
ORD-10685,"April 18, 2024",South,Liam Brooks,Services,Onboarding,start-up,42,488.22,0.06,19274.93,,Online
ORD-10539,"July 19, 2022",Central,Marcus Webb,Subscriptions,Basic Plan,enterprise,39,4005.92,0.08,143732.41,pending,Partner
ORD-10704,14/05/2022,NORTH,Sophia Lee,Hardware,NAS Drive,smb,44,164.43,0.34,4775.05,Lost,Online
ORD-10074,2024-06-24,South,Derek Stone,Subscriptions,Pro Plan,start-up,8,192.9,0.22,1203.7,pending,Direct
ORD-10421,"March 09, 2024",South,Derek Stone,Software,DataVault,smb,42,3727.49,0.28,112719.3,lost,direct
ORD-10637,06/11/2022,central,Zoe Nguyen,Software,DataVault,Enterprise,12,227.52,0.09,2484.52,Lost,Online
ORD-10781,30-01-2024,East,Aisha Patel,Services,Migration,startup,4,4877.76,0.31,13462.62,In Progress,direct
ORD-10569,29/11/2022,south,Sophia Lee,Software,CloudDash,ENTERPRISE,21,822.46,,11399.3,pending,referral
ORD-10639,2022-10-31,East,Sophia Lee,Hardware,NAS Drive,ENTERPRISE,18,2838.07,0.23,39335.65,PENDING,Online
ORD-10299,25/10/2024,west,Mia Fernandez,Subscriptions,Basic Plan,start-up,11,4862.22,0.28,,WON,direct
ORD-10651,"July 20, 2024",Central,Derek Stone,Services,Support Plan,ENTERPRISE,48,4911.82,0.09,214548.3,won,DIRECT
ORD-10081,"October 23, 2022",central,Marcus Webb,Software,AutoSync,Startup,45,2017.54,0.03,88065.62,In Progress,Partner
ORD-10838,04-12-2023,West,Aisha Patel,Subscriptions,Basic Plan,ENTERPRISE,27,2774.95,0.09,68180.52,Lost,direct
ORD-10832,01/29/2023,EAST,James Carter,Subscriptions,Basic Plan,Enterprise,27,2648.61,0.25,53634.35,Pending,referral
ORD-10115,05-05-2024,north,Liam Brooks,Software,DataVault,start-up,6,2211.72,0.04,12739.51,LOST,direct
ORD-10477,2023-02-20,,Derek Stone,Software,CloudDash,start-up,1,-50.0,0.17,2539.4,PENDING,Online
